iter	Passed	Remaining
611	7957	5044
612	7971	5032
613	7987	5021
614	8003	5010
615	8016	4997
616	8034	4987
617	8052	4977
618	8067	4965
619	8084	4955
620	8101	4944
621	8169	4965
622	8193	4958
623	8212	4948
624	8227	4936
625	8243	4924
626	8257	4912
627	8270	4899
628	8287	4888
629	8303	4876
630	8319	4865
631	8336	4854
632	8352	4842
633	8367	4830
634	8384	4819
635	8401	4808
636	8418	4797
637	8437	4787
638	8454	4776
639	8474	4766
640	8495	4758
641	8513	4747
642	8530	4736
643	8550	4726
644	8570	4717
645	8587	4705
646	8605	4695
647	8623	4684
648	8642	4674
649	8661	4663
650	8683	4655
651	8701	4644
652	8717	4632
653	8734	4620
654	8751	4609
655	8768	4598
656	8786	4587
657	8800	4574
658	8815	4561
659	8834	4551
660	8850	4539
661	8866	4526
662	8884	4515
663	8900	4503
664	8915	4491
665	8930	4478
666	8946	4466
667	8963	4454
668	8979	4442
669	8995	4430
670	9008	4416
671	9023	4404
672	9038	4391
673	9052	4378
674	9067	4366
675	9083	4353
676	9099	4341
677	9120	4331
678	9137	4319
679	9160	4310
680	9180	4300
681	9199	4289
682	9215	4277
683	9234	4266
684	9254	4255
685	9276	4246
686	9296	4235
687	9319	4226
688	9351	4220
689	9379	4213
690	9398	4202
691	9417	4191
692	9438	4181
693	9457	4169
694	9476	4158
695	9495	4147
696	9513	4135
697	9533	4124
698	9556	4115
699	9575	4103
700	9596	4093
701	9615	4081
702	9635	4070
703	9654	4059
704	9674	4048
705	9695	4037
706	9715	4026
707	9735	4015
708	9757	4005
709	9784	3996
710	9807	3986
711	9834	3978
712	9855	3967
713	9876	3956
714	9898	3945
715	9918	3934
716	9939	3922
717	9962	3912
718	9987	3903
719	10013	3894
720	10039	3884
721	10057	3872
722	10074	3859
723	10097	3849
724	10113	3836
725	10132	3824
726	10151	3811
727	10167	3798
728	10183	3785
729	10201	3773
730	10220	3761
731	10240	3749
732	10257	3736
733	10275	3723
734	10292	3710
735	10307	3697
736	10325	3684
737	10343	3672
738	10361	3659
739	10378	3646
740	10395	3633
741	10413	3620
742	10433	3609
743	10477	3605
744	10496	3592
745	10511	3579
746	10529	3566
747	10545	3552
748	10561	3539
749	10579	3526
750	10595	3513
751	10610	3499
752	10628	3486
753	10648	3474
754	10666	3461
755	10684	3448
756	10700	3434
757	10717	3421
758	10734	3408
759	10752	3395
760	10768	3382
761	10785	3368
762	10802	3355
763	10819	3342
764	10836	3328
765	10854	3315
766	10873	3303
767	10890	3289
768	10907	3276
769	10923	3262
770	10943	3250
771	10959	3236
772	10976	3223
773	10992	3209
774	11009	3196
775	11023	3182
776	11039	3168
777	11055	3154
778	11073	3141
779	11089	3127
780	11109	3115
781	11130	3102
782	11147	3089
783	11163	3075
784	11179	3062
785	11196	3048
786	11213	3034
787	11228	3020
788	11244	3007
789	11258	2992
790	11274	2978
791	11292	2965
792	11312	2952
793	11331	2939
794	11349	2926
795	11369	2913
796	11388	2900
797	11405	2887
798	11421	2873
799	11438	2859
800	11456	2846
801	11473	2832
802	11489	2818
803	11506	2804
804	11525	2791
805	11540	2777
806	11557	2764
807	11572	2749
808	11589	2736
809	11608	2722
810	11625	2709
811	11641	2695
812	11658	2681
813	11674	2667
814	11691	2653
815	11709	2640
816	11725	2626
817	11745	2613
818	11766	2600
819	11783	2586
820	11801	2573
821	11818	2559
822	11834	2545
823	11848	2530
824	11864	2516
825	11879	2502
826	11896	2488
827	11915	2475
828	11931	2461
829	11950	2447
830	11966	2433
831	11983	2419
832	12000	2405
833	12019	2392
834	12035	2378
835	12052	2364
836	12069	2350
837	12085	2336
838	12101	2322
839	12119	2308
840	12136	2294
841	12152	2280
842	12177	2267
843	12194	2253
844	12210	2239
845	12228	2226
846	12245	2212
847	12262	2197
848	12278	2183
849	12294	2169
850	12312	2155
851	12330	2141
852	12347	2127
853	12362	2113
854	12379	2099
855	12398	2085
856	12415	2071
857	12433	2057
858	12450	2043
859	12467	2029
860	12484	2015
861	12502	2001
862	12519	1987
863	12533	1972
864	12550	1958
865	12568	1944
866	12586	1930
867	12606	1917
868	12622	1902
869	12640	1888
870	12657	1874
871	12672	1860
872	12689	1845
873	12706	1831
874	12724	1817
875	12740	1803
876	12758	1789
877	12774	1775
878	12789	1760
879	12809	1746
880	12825	1732
881	12841	1717
882	12857	1703
883	12875	1689
884	12891	1675
885	12907	1660
886	12924	1646
887	12941	1632
888	12958	1618
889	12980	1604
890	12996	1589
891	13011	1575
892	13030	1561
893	13046	1546
894	13063	1532
895	13080	1518
896	13097	1503
897	13114	1489
898	13130	1475
899	13146	1460
900	13163	1446
901	13178	1431
902	13194	1417
903	13211	1403
904	13231	1388
905	13248	1374
906	13265	1360
907	13284	1345
908	13299	1331
909	13315	1316
910	13332	1302
911	13348	1288
912	13365	1273
913	13384	1259
914	13402	1245
915	13419	1230
916	13434	1216
917	13456	1202
918	13473	1187
919	13492	1173
920	13510	1158
921	13526	1144
922	13542	1129
923	13560	1115
924	13576	1100
925	13593	1086
926	13610	1071
927	13627	1057
928	13643	1042
929	13662	1028
930	13678	1013
931	13695	999
932	13712	984
933	13729	970
934	13745	955
935	13761	940
936	13778	926
937	13798	912
938	13814	897
939	13831	882
940	13848	868
941	13864	853
942	13883	839
943	13899	824
944	13916	809
945	13933	795
946	13948	780
947	13968	766
948	13987	751
949	14004	737
950	14021	722
951	14038	707
952	14055	693
953	14072	678
954	14090	663
955	14121	649
956	14149	635
957	14169	621
958	14189	606
959	14211	592
960	14230	577
961	14248	562
962	14269	548
963	14292	533
964	14312	519
965	14330	504
966	14349	489
967	14365	474
968	14381	460
969	14398	445
970	14414	430
971	14432	415
972	14449	400
973	14466	386
974	14480	371
975	14496	356
976	14515	341
977	14531	326
978	14547	312
979	14569	297
980	14585	282
981	14601	267
982	14618	252
983	14635	237
984	14652	223
985	14667	208
986	14690	193
987	14711	178
988	14735	163
989	14753	149
990	14771	134
991	14788	119
992	14807	104
993	14827	89
994	14847	74
995	14867	59
996	14890	44
997	14911	29
998	14934	14
999	14950	0
